
courses,hours,java.lang.Integer,FALSE,null,null,1,24
courses,date_added,java.util.Date,TRUE,null,null,1901-01-01,2020-12-31
courses,course_id,java.lang.String,FALSE,null,null,0000,9999
courses,course_name,java.lang.String,FALSE,null,null,AAAAAA,zzzzzz
pcs,pc_id,java.lang.Integer,TRUE,null,null,0,20000
pcs,student_id,java.lang.String,FALSE,null,null,43-0000,99-9999
transcripts,gpa,java.lang.Double,TRUE,null,null,0.7,5.0
transcripts,date_passed,java.util.Date,FALSE,null,null,1990-01-01,2020-12-31
transcripts,course_name,java.lang.String,FALSE,null,null,AAAAAA,zzzzzz
transcripts,student_id,java.lang.String,FALSE,null,null,43-0000,99-9999
students,gpa,java.lang.Double,FALSE,first_namelast_namegpaIndex,Octree,0.7,5.0
students,last_name,java.lang.String,FALSE,first_namelast_namegpaIndex,Octree,AAAAAA,zzzzzz
students,first_name,java.lang.String,FALSE,first_namelast_namegpaIndex,Octree,AAAAAA,zzzzzz
students,dob,java.util.Date,FALSE,null,null,1990-01-01,2000-12-31
students,id,java.lang.String,TRUE,null,null,43-0000,99-9999
